21c894 trace_print_symbols_seq
21c954 trace_print_hex_seq
21ca10 trace_print_array_seq
21ce40 trace_print_bitmask_seq
21ce90 trace_print_hex_dump_seq
21cf40 trace_event_printf
21d7f0 unregister_trace_event
21d864 register_trace_event
21db00 trace_print_bputs_msg_only
21db54 trace_print_bprintk_msg_only
21dbb0 trace_print_printk_msg_only
21dc04 trace_seq_print_sym
21dd34 seq_print_ip_sym
21e210 trace_print_lat_fmt
21e454 trace_print_context
21e600 trace_print_lat_context
21e940 trace_event_read_lock
21e970 trace_event_read_unlock
21e9f0 trace_seq_puts
21ea90 trace_seq_to_user
21ebc4 trace_seq_bprintf
21ec40 trace_seq_vprintf
21ecd0 trace_seq_bitmask
21ed54 trace_seq_printf
21ee30 trace_seq_path
21ef10 trace_seq_putmem_hex
21efb0 trace_seq_hex_dump
21f084 trace_print_seq
21f5b0 register_stat_tracer
21f754 unregister_stat_tracer
21fba0 __trace_bprintk
21fc84 __trace_printk
21fd54 __ftrace_vprintk
2201a0 trace_pid_list_next
220204 trace_pid_list_first
220260 trace_pid_list_alloc
2213c0 tracing_map_var_set
221454 tracing_map_cmp_string
221470 tracing_map_cmp_num
221530 tracing_map_add_sum_field
2215e4 tracing_map_add_key_field
2216d0 tracing_map_insert
2216f0 tracing_map_lookup
221760 tracing_map_clear
221890 tracing_map_create
2219b0 tracing_map_init
221a00 tracing_map_destroy_sort_entries
221ab0 tracing_map_sort_entries
222244 tracing_start_cmdline_record
222264 tracing_stop_cmdline_record
222320 tracing_start_tgid_record
222340 tracing_stop_tgid_record
2238b4 ftrace_allocate_ftrace_ops
223934 ftrace_free_ftrace_ops
2239b0 ftrace_destroy_function_files
227414 stack_trace_sysctl
227710 graph_trace_close
227d70 graph_trace_open
227f50 __trace_graph_entry
228014 trace_graph_entry
228270 __trace_graph_return
228310 trace_graph_function
2285d0 trace_print_graph_duration
229704 print_graph_function_flags
229960 print_graph_headers_flags
229bf0 blk_fill_rwbs
22b380 blk_trace_remove
22bdd4 __trace_note_message
22d200 blk_trace_startstop
